"title","awarddate","won","nominated"
"12 Years a Slave (2013)",2014-03-02,TRUE,TRUE
"127 Hours (2010)",2011-02-27,FALSE,TRUE
"Beautiful Mind, A (2001)",2002-03-24,TRUE,TRUE
"Serious Man, A (2009)",2010-03-07,FALSE,TRUE
"American Beauty (1999)",2000-03-26,TRUE,TRUE
"American Hustle (2013)",2014-03-02,FALSE,TRUE
"American Sniper (2014)",2015-02-22,FALSE,TRUE
"Amour (2012)",2013-02-24,FALSE,TRUE
"Education, An (2009)",2010-03-07,FALSE,TRUE
"Apollo 13 (1995)",1996-03-25,FALSE,TRUE
"Argo (2012)",2013-02-24,TRUE,TRUE
"As Good as It Gets (1997)",1998-03-23,FALSE,TRUE
"Atonement (2007)",2008-02-24,FALSE,TRUE
"Avatar (2009)",2010-03-07,FALSE,TRUE
"Babe (1995)",1996-03-25,FALSE,TRUE
"Babel (2006)",2007-02-25,FALSE,TRUE
"Beasts of the Southern Wild (2012)",2013-02-24,FALSE,TRUE
"Birdman: Or (The Unexpected Virtue of Ignorance) (2014)",2015-02-22,TRUE,TRUE
"Black Swan (2010)",2011-02-27,FALSE,TRUE
"Boyhood (2014)",2015-02-22,FALSE,TRUE
"Braveheart (1995)",1996-03-25,TRUE,TRUE
"Bridge of Spies (2015)",2016-02-28,FALSE,TRUE
"Brokeback Mountain (2005)",2006-03-05,FALSE,TRUE
"Brooklyn (2015)",2016-02-28,FALSE,TRUE
"Capote (2005)",2006-03-05,FALSE,TRUE
"Captain Phillips (2013)",2014-03-02,FALSE,TRUE
"Chicago (2002)",2003-03-23,TRUE,TRUE
"Chocolat (2000)",2001-03-25,FALSE,TRUE
"Crash (2004)",2006-03-05,TRUE,TRUE
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",2001-03-25,FALSE,TRUE
"Dallas Buyers Club (2013)",2014-03-02,FALSE,TRUE
"District 9 (2009)",2010-03-07,FALSE,TRUE
"Django Unchained (2012)",2013-02-24,FALSE,TRUE
"Elizabeth (1998)",1999-03-21,FALSE,TRUE
"Erin Brockovich (2000)",2001-03-25,FALSE,TRUE
"Extremely Loud and Incredibly Close (2011)",2012-02-26,FALSE,TRUE
"Fargo (1996)",1997-03-24,FALSE,TRUE
"Finding Neverland (2004)",2005-02-27,FALSE,TRUE
"Frost/Nixon (2008)",2009-02-22,FALSE,TRUE
"Gangs of New York (2002)",2003-03-23,FALSE,TRUE
"Gladiator (2000)",2001-03-25,TRUE,TRUE
"Good Night, and Good Luck. (2005)",2006-03-05,FALSE,TRUE
"Good Will Hunting (1997)",1998-03-23,FALSE,TRUE
"Gosford Park (2001)",2002-03-24,FALSE,TRUE
"Gravity (2013)",2014-03-02,FALSE,TRUE
"Her (2013)",2014-03-02,FALSE,TRUE
"Hugo (2011)",2012-02-26,FALSE,TRUE
"In the Bedroom (2001)",2002-03-24,FALSE,TRUE
"Inception (2010)",2011-02-27,FALSE,TRUE
"Inglourious Basterds (2009)",2010-03-07,FALSE,TRUE
"Jerry Maguire (1996)",1997-03-24,FALSE,TRUE
"Juno (2007)",2008-02-24,FALSE,TRUE
"L.A. Confidential (1997)",1998-03-23,FALSE,TRUE
"Misérables, Les (2012)",2013-02-24,FALSE,TRUE
"Letters from Iwo Jima (2006)",2007-02-25,FALSE,TRUE
"Life Is Beautiful (La Vita è bella) (1997)",1999-03-21,FALSE,TRUE
"Life of Pi (2012)",2013-02-24,FALSE,TRUE
"Lincoln (2012)",2013-02-24,FALSE,TRUE
"Little Miss Sunshine (2006)",2007-02-25,FALSE,TRUE
"Lost in Translation (2003)",2004-02-29,FALSE,TRUE
